source,target,value
H5375 [נָשָׂא nâsâʼ],accept,12
H3722 [כָּפַר kâphar],appease,1
H5375 [נָשָׂא nâsâʼ],armourbearer,18
H3722 [כָּפַר kâphar],atonement,71
H3722 [כָּפַר kâphar],atonement   made,2
H5375 [נָשָׂא nâsâʼ],bare,34
H5375 [נָשָׂא nâsâʼ],bare/lift up,219
H5375 [נָשָׂא nâsâʼ],bear,115
H5375 [נָשָׂא nâsâʼ],borne,22
H5375 [נָשָׂא nâsâʼ],carry,30
H3722 [כָּפַר kâphar],cleansed,1
G5483 [χαρίζομαι charízomai],deliver,2
G859 [ἄφεσις áphesis],deliverance,1
H3722 [כָּפַר kâphar],disannulled,1
H5375 [נָשָׂא nâsâʼ],exalt,8
G863 [ἀφίημι aphíēmi],forgive,47
G5483 [χαρίζομαι charízomai],forgive,11
H5375 [נָשָׂא nâsâʼ],forgive,16
H3722 [כָּפַר kâphar],forgive,3
H5545 [סָלַח çâlach],forgiven,13
G859 [ἄφεσις áphesis],forgiveness,6
H5547 [סְלִיחָה çᵉlîychâh],forgiveness,2
G863 [ἀφίημι aphíēmi],forsake,6
G5483 [χαρίζομαι charízomai],frankly forgive,1
G5483 [χαρίζομαι charízomai],freely give,2
G5483 [χαρίζομαι charízomai],give,6
G5483 [χαρίζομαι charízomai],grant,1
G863 [ἀφίημι aphíēmi],leave,52
G863 [ἀφίημι aphíēmi],let,8
G863 [ἀφίημι aphíēmi],let alone,6
G859 [ἄφεσις áphesis],liberty,1
H3722 [כָּפַר kâphar],merciful,2
G863 [ἀφίημι aphíēmi],miscellaneous,13
H5375 [נָשָׂא nâsâʼ],miscellaneous,74
H5375 [נָשָׂא nâsâʼ],obtained,4
H3722 [כָּפַר kâphar],pacify,2
H5545 [סָלַח çâlach],pardon,13
H3722 [כָּפַר kâphar],pardon,1
H5547 [סְלִיחָה çᵉlîychâh],pardon,1
H3722 [כָּפַר kâphar],pitch,1
H3722 [כָּפַר kâphar],purge,7
H3722 [כָּפַר kâphar],purge away,2
H3722 [כָּפַר kâphar],put off,1
H5546 [סַלָּח çallâch],ready to forgive,1
H3722 [כָּפַר kâphar],reconcile,3
H3722 [כָּפַר kâphar],reconciliation,4
H5375 [נָשָׂא nâsâʼ],regard,5
G859 [ἄφεσις áphesis],remission,9
H5375 [נָשָׂא nâsâʼ],respect,3
H5545 [סָלַח çâlach],spare,1
G863 [ἀφίημι aphíēmi],suffer,14
H5375 [נָשָׂא nâsâʼ],take,58
H5375 [נָשָׂא nâsâʼ],take/carry away,22
